Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Body_Base,-0.000984778969804825,0.159999918319187,-0.0569571874345381,0,0,0,4.29822002793714,0.0765802499361531,6.20277192134588E-08,0.000748099972946707,0.0663529790747971,1.72067807092044E-09,0.0502142373391222,0,0,0,0,0,0,package://yeah/meshes/Body_Base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/Body_Base.STL,,胸壳-1;左臂-2/DM 6248 减速电机20250717_1-20;右臂-2/DM 6248 减速电机20250717_1-16;14.36-1/DM-J4310-2EC-V1.1__3d_20240822_1.stp-5,LArm_o8,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
LeftShoulderPitch_Link,-0.0118884051145213,-0.0958707585796716,-2.00008868853352E-05,0,0,0,0.76808266526681,0.000903137600450535,-2.03885540151788E-05,5.88736093137122E-09,0.000439750844099894,2.12578992625761E-07,0.000730377051545063,0,0,0,0,0,0,package://yeah/meshes/LeftShoulderPitch_Link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://yeah/meshes/LeftShoulderPitch_Link.STL,,左臂-2/装配体2^左臂-1/Mirror零件5 9.8-1;左臂-2/装配体2^左臂-1/DM 6248 减速电机20250717_1-1,LArm_o8,w8,LeftShoulderPitch,continuous,0,0,0,0,0,0,Body_Base,0,1,0,,,,,,,,,,,,
LeftShoulderRoll_Link,0.0481808462755143,0.000134924626469746,-0.0299316642060652,0,0,0,0.21174280607146,0.000208397984531029,1.36465757992387E-17,-7.38663330295468E-05,0.000254436493529271,2.14414560631933E-17,0.000201760045685172,0,0,0,0,0,0,package://yeah/meshes/LeftShoulderRoll_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/LeftShoulderRoll_Link.STL,,左臂-2/零件4-7,LArm_o10,w10,LeftShoulderRoll,continuous,-0.0457862201502336,-0.101884924626422,9.29530337989704E-05,0,0,0,LeftShoulderPitch_Link,1,0,0,,,,,,,,,,,,
LeftShoulderYaw_Link,-0.000252551409176599,-0.00824171475617247,-0.0831506652226813,0,0,0,1.26036454362227,0.00253833469960683,-1.69459013437106E-07,3.03726690632612E-07,0.00253179661999221,-0.000274198273884283,0.000875832278724056,0,0,0,0,0,0,package://yeah/meshes/LeftShoulderYaw_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/LeftShoulderYaw_Link.STL,,左臂-2/03-1;左臂-2/DM 6248 减速电机20250717_1-21;左臂-2/dm_4340__3d20240822_1-1,LArm_o12,w12,LeftShoulderYaw,continuous,0.0314999999999971,0.000134924626422839,-0.0534482151393814,0,0,0,LeftShoulderRoll_Link,0,0,-1,,,,,,,,,,,,
LeftElbowPitch_Link,-0.000249999999992354,0.0456042733251177,-0.0190374268432217,0,0,0,0.106065791565823,6.94131147891919E-05,1.27689558947316E-18,-5.45847030808275E-18,7.41879260654164E-05,-1.92424056971676E-05,5.5934945492048E-05,0,0,0,0,0,0,package://yeah/meshes/LeftElbowPitch_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/LeftElbowPitch_Link.STL,,左臂-2/Mirror零件3-7,LArm_o14,w14,LeftElbowPitch,continuous,0,-0.0280000000000016,-0.183500000000001,0,0,0,LeftShoulderYaw_Link,0,1,0,,,,,,,,,,,,
LeftElbowYaw_Link,-0.000217173254179463,-0.00281066704324645,-0.0732161416514601,0,0,0,0.75793905190884,0.00039617017835574,2.87989632730269E-07,6.12083837350659E-08,0.000421409135299627,-4.00420186079024E-05,0.000318857221902468,0,0,0,0,0,0,package://yeah/meshes/LeftElbowYaw_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/LeftElbowYaw_Link.STL,,左臂-2/装配体6^左臂-1/dm_4340__3d20240822_1(2)(1)-1;左臂-2/装配体6^左臂-1/Mirror06-1;左臂-2/装配体6^左臂-1/dm_4340__3d20240822_1(2)(1)-2,LArm_o16,w16,LeftElbowYaw,continuous,0,0.0323000000000016,-0.0429499999999954,0,0,0,LeftElbowPitch_Link,0,0,-1,,,,,,,,,,,,
LeftWristPitch_Link,0.00133791172432937,0.0341906328512787,-0.0534431493088246,0,0,0,0.42226683432476,0.000256504293798981,-1.30931402455396E-05,-3.38905353638004E-05,0.00024177007172023,-3.29706941462471E-05,0.000178275804432396,0,0,0,0,0,0,package://yeah/meshes/LeftWristPitch_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/LeftWristPitch_Link.STL,,左臂-2/装配体7^左臂-1/Mirror007-1;左臂-2/装配体7^左臂-1/dm_4340__3d20240822_1(2)(1)-1,LArm_o18,w18,LeftWristPitch,continuous,0,-0.0270000000000015,-0.122350000000005,0,0,0,LeftElbowYaw_Link,0,1,0,,,,,,,,,,,,
LeftWristRoll_Link,-0.0188568585065403,4.9293902293357E-14,-0.0366968813296825,0,0,0,0.158679290509597,7.71223907395444E-05,7.52048720993343E-18,-3.4739828441325E-05,0.000103951082639342,9.74545951327324E-18,5.98820937872405E-05,0,0,0,0,0,0,package://yeah/meshes/LeftWristRoll_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/LeftWristRoll_Link.STL,,左臂-2/Mirror手连接件-3,LArm_o20,w20,LeftWristRoll,continuous,0.0292499999999982,0.0312999999999996,-0.0619999999999982,0,0,0,LeftWristPitch_Link,-1,0,0,,,,,,,,,,,,
RightShoulderPitch_Link,-0.0118884044926476,0.0959686201612704,-1.63983461911321E-05,0,0,0,0.768082713380196,0.000903137615113295,2.03788412641471E-05,2.22721926600665E-08,0.000439718163188342,-1.94715055722326E-07,0.000730409750501336,0,0,0,0,0,0,package://yeah/meshes/RightShoulderPitch_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/RightShoulderPitch_Link.STL,,右臂-2/R_Link2^右臂-1/零件5 9.8-1;右臂-2/R_Link2^右臂-1/DM 6248 减速电机20250717_1-1,RArm_o22,w22,RightShoulderPitch,continuous,0,0.319899999999998,0,0,0,0,Body_Base,0,-1,0,,,,,,,,,,,,
RightShoulderRoll_Link,-0.0123191537244823,3.33066907387547E-16,-0.0298387111721881,0,0,0,0.21174280607146,0.000208397984531028,1.99099693068067E-20,-7.38663330295466E-05,0.00025443649352927,3.72596351937519E-20,0.000201760045685172,0,0,0,0,0,0,package://yeah/meshes/RightShoulderRoll_Link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://yeah/meshes/RightShoulderRoll_Link.STL,,右臂-2/零件4-5,RArm_o24,w24,RightShoulderRoll,continuous,0.0149637798497616,0.101849999999999,0,0,0,0,RightShoulderPitch_Link,-1,0,0,,,,,,,,,,,,
